,id,title,author,genre,story,platform
15,15,특급 골잡이,오일룡,#스포츠#완결,프로 축구팀 팬텀스 훈련장에 나타난 유비는 자신이 한국축구 최고의 선수라며 입단하겠다고 떼를 쓴다. 선수들과 실랑이를 벌이던 유비는 국가대표 선수인 관우의 도움으로 간신히 테스트받게 된다. 유비의 가능성을 알아본 팬텀스 감독은 유비의 입단을 허락한다.,탑툰
16,16,악질 스트라이커,고행석,#스포츠#스포츠#완결,아시아 청소년 축구대회 준결승. 한국팀 골 게터 최형권의 컨디션 난조로 득점하지 못한 채 상대팀에게 골을 허용한다. 결국 최형권과 선수 교체로 첫 출장을 하게 된 구영탄은 김훈과 함께 경기 종료 10분을 남기고 두 골을 넣어 역전승을 거두어 인터뷰하게 되는데…!,탑툰
17,17,아수라,박원빈,#액션#드라마#액션#완결,인간은 가슴에 칼을 꽂은채 태어난다! 운명이란 이름의 날카로운 칼을! 기억하라! 잊혀진 아수라의 슬픔을 위해..!!,탑툰
18,18,환령신투,황재,#무협#완결,처절한 쾌락의 소용돌이가 몰아쳤다. 격렬하고 뜨거운 열정이 산산히 부서진 남녀의 가슴을 훑었다! 무아의 공간에서 빚어진 본능은 폭풍처럼 사나웠다…,탑툰
19,19,혈루사신,황재,#무협#액션#무협#완결,가까워졌다... 그립고도 그리운 친구가 있는 곳이...! 나의 복수를 행할 곳이..!!,탑툰
20,20,속도위반 대표님과 계약 아내,Shuibuciyuan&kkworld&Flower,#로맨스#대기업#대표님#속도위반#하룻밤#신혼#로맨스#완결,"친구의 계략으로 대기업 대표 윤석찬과 하룻밤을 보내게 된 고혜원. 그의 아이를 갖게 된 탓에, 재벌가의 약혼녀가 된다. 그들의 아찔한 속도위반 신혼 생활!",탑툰
21,21,매지컬 메이트,Quick manga,#타임슬립#마법#육아#로맨스#드라마#판타지#완결,"'이하나'는 전생에 남자친구와 데이트를 하던 중 교통사고로 목숨을 잃는다. 그 후 전생의 모든 기억을 가진 채, 마법 세계에 환생한다. 시합을 통해 르벤 제국 황제의 양녀가 되지만, 다른 공주들과는 달리 푸대접과 구박을 받는다. 과연 주인공은 역경에 굴하지 않고 자신의 삶을 개척해 나갈 수 있을까?",탑툰
22,22,상제강림,청산&대당&미사,#빙의#판타지#드라마#액션#무협#완결,"최강자 '상제', 새 몸에 빙의하다!",탑툰
23,23,열혈장사꾼[애장판],박인권,#드라마#액션#드라마#액션#완결,달은 천만번 이지러져도 그 모습 그대로이고... 장사꾼은 천만번 넘어져도 오늘 장터로 떠난다. 그것이 「장사꾼의 곤조」다. 대한민국 최고의 「거상」─ 장사에는 마법이 없다. 다만 내가 마귀가 될 뿐이다.,탑툰
24,24,용의 계승자,IQIYI&데몬프로그&극광,#무림#배신#복수#판타지#액션#무협#완결,무림세가의 소가주였던 '임진'은 형제에게 배신당해 죽음을 맞이한다. 하지만 죽음 끝에 도달한 곳은 저세상이 아니라 자신이 신령이라고 주장하는 용이 있는 곳이었다. 용은 '임진'에게 성맥지체라고 하며 용의 조건을 승낙하기만 하면 그에게 힘을 계승하게 해주고 복수를 돕겠다고 했다. '임진'은 복수를 위해서 조건을 듣지도 않고 승낙하게 되는데... 과연 '임진'은 힘을 손에 얻어 다시 돌아간 세상에서 복수를 완성할 수 있을까?,탑툰
25,25,천계구매대행,Hungry Studio,#소년물#천계#구매대행#드라마#판타지#완결,"내 이름은 '김무형', 대학교 2학년생. 아르바이트로 구매대행을 하고 있는데, 이게 제법 쏠쏠하다. 이번 거래를 마치면 크게 한탕 벌 수 있는데…. 불법 구매 대행이라 물건을 전부 압수당했다. 망했다!!! 그 물건은 조폭 조직 아가씨가 구매 요청한 거라고!! 살기 위해 할아버지와 살던 집을 담보로 내놓으려고 하는데, 어라? 이 문을 열어보니 그곳은….. 네? 제가 천계에서 구매대행을요?",탑툰
26,26,무인(武人),박원빈,#검객#소년물#드라마#액션#완결,피바람 속에서도 우뚝선 그 진한 검인들의 세계!!,탑툰
27,27,폭류신공 [개정판],묵검향,#용천산#묵검향#드라마#액션#무협#완결,아버지는 단돈 은자 열 냥에 지옥으로 날 팔아 치웠다. 친구를 만나고 또 친구를 잃고... 나는 반드시 살아남으리라. 하지만 하늘은 무심하지 않았다. 지옥에서 손에 넣은 폭류신공! 이 폭류신공으로 내 모든 복수와 꿈을 이루리라.,탑툰
28,28,필드의 삼바축구,오일룡,#축구#오해#복수#드라마#액션#스포츠#완결,'유비'는 외교관인 아버지를 따라 브라질에서 축구선수로 지냈다. 귀국하라는 훈령을 받은 아버지와 함께 한국에 돌아온 '유비'는 당분간 축구를 잊고 외무고시를 준비하기로 하는데…,탑툰
29,29,건망증 악질,고행석,#구영탄#깡패#건망증#드라마#액션#완결,갑돌이파의 보호를 받고 있던 궁전싸롱의 강사장이 스스로 가게를 지킬 테니 보호비 명단에서 제외해달라고 요청한다. 이에 분노한 '구영탄'은 혼자 궁전싸롱으로 달려가 모두 박살을 내고 항복을 받아낸다. 하지만 건망증이 심한 '구영탄'은 왜 그랬는지 잊어버리고 아무 말도 하지 못한 채 갑돌이파 사무실로 돌아가는데…,탑툰
30,30,천하무적 삼불귀,황재,#코믹#복수#드라마#액션#무협#완결,무림천하가 시체의 산과 피의 강을 이루어 무림 앞날이 바야흐로 풍전등화의 위기에 처했을 때 홀연히 절세무비의 무예를 갖춘 부부가 구세주처럼 나타나 천마문의 9대 마왕과 대 혈전을 벌였다! 결국 대설산 만년빙곡에 9마왕이 감금되고 이후 100년간 무림은 다시 평화를 만끽해 왔으나......,탑툰
