,id,title,author,genre,story,platform
93,93,역천지존,kuyayumu,#무협#액션#소년물#판타지#액션#무협#목,"일만 번의 윤회, 일만 번의 죽음 끝에 자유를 얻게 된 담운. ""나의 강함을 질투해 윤회의 굴레에 빠트린 자들에겐 피의 복수를 안기리라."" 수많은 윤회로 최강의 고수가 된 그를 감히 막을 자는 누구인가!",탑툰
94,94,능천신제,자수야,#복수#성장#드라마#판타지#액션#무협#목,"신제들의 스승이었던 주인공은 제자들에게 배신 당해 목숨을 잃지만 기적적으로 능 씨 가문의 '능검진'으로 환생한다. 그는 자신의 장례식 날, 관 속에서 눈을 뜨는데, 알고 보니 원래 몸의 주인은 '이천룡'에게 무혼을 파괴당해 비참하게 죽은 상태였다. 전생의 기억으로 모든 과거를 알게 된 '능검진'은 신계의 제자들뿐 아니라, 현계에서 능가를 모욕한 자들에게도 복수하기로 다짐한다. 신계에 있을 때 자신이 만든 비서를 이용해 순식간에 무공을 길러 최고의 경지에 이른 '능검진'. 이제 모든 이들이 그의 앞에서 무릎을 꿇을 일만 남았다.",탑툰
95,95,선조귀환,소명태극,#요괴#소년물#현대물#드라마#판타지#액션#무협#목,"천지의 모든 것을 손바닥 뒤집듯 부릴 수 있는 자들만 이름을 올리는 '통천방'. 그 통천방의 일인자였던 '우창현'은 천겁을 버티지 못 하고 소멸하게 된다. 그러나 3천년 뒤, 인계에 나타난 '우창현'은 자신이 세운 종문인 청현종에 다시금 모습을 드러낸다!",탑툰
96,96,투맨,공종철&유태순,#빙의#왕따#조폭#조직#드라마#액션#목,"억울한 누명을 쓰고 살해된 강력계 형사 '강태식'. 복수를 위해 왕따의 몸으로 빙의되다! 형사와 왕따, 두 남자의 고군분투 리얼액션!",탑툰
97,97,말단 병사에서 군주까지,doip&소울풍&2631,#회귀#용병#전쟁#기사#액션#소설원작#판타지#목,"말단 병사 시절. 전장에서 오른팔을 잘린 '크리스'는 살아남기 위해 온갖 잡기를 익힌다. 그렇게 24년이 지나 어느 날, 상단을 호위하는 임무 도중 왼팔 마저 잘리고 벼랑으로 떨어진다. ""이렇게 실감 나는 꿈은 처음인데..."" 끝났다고 생각한 순간, '크리스'는 오른팔을 잃었던 그 때의 전쟁터로 회귀하는데...",탑툰
98,98,만계선종,아이리더,#소년물#액션#복수#판타지#액션#무협#목,"16년 전 성운은 약한 몸을 가지고 태어난다. 성운의 조부는 약한 아이가 걱정되어 천원신종의 제결 사부에게 아이를 입양 보낸다. 제결 사부는 성운을 친자식처럼 아끼며 극진히 보살핀다. 한편 속세에 남아있던 성운의 가족은 목야 전투로 인해 모두 몰살당하고 만다. 성운은 자신의 가족을 죽인 원수들을 향해 큰 분노를 갖게 되고, 그 분노는 복수라는 씨앗을 키우게 된다. 평소 사부 제결에게 모든 것을 의지했던 성운은 어느 날 갑자기 제결로부터 천원신종의 자리를 물려받으라는 제안을 받는다. 그 제안을 받아들인 성운은 홀로 천원신종을 다스리게 되는데...",탑툰
99,99,로벨: 악의를 계승받은 자,MOKF&가심(可心),#전쟁#복수#학원물#드라마#판타지#목,"초강대국 슈르트와 라이오니아의 영토 분쟁은 수많은 전쟁을 일으켰고, 전장의 승패를 가르는 강력한 존재가 있었으니 바로 워로드라고 하는 자들이었다. 워로드였던 '로벨'의 아버지 '로드릭'의 배신으로 라이오니아의 패색이 짙어졌고, '로벨'은 매국노의 아들로 낙인 찍혀 어머니와 함께 힘들게 살아가고 있었다. 그러던 어느 날, 국가의 감시와 규제 속에서 희망 없이 살아가던 '로벨'의 앞에 그가 숭배하던 영웅, 파이브의 수장 '피닉스 레온'이 나타나 새로운 길을 열어주는데, 그것은 바로 무법지대에 위치한 범죄자들의 집합소와 같은 어비스 학원에 입하는 것. 어비스 학원에 입학한 '로벨'에게 완전히 새로운 세상이 펼쳐진다. 그리고 그가 증오했던 아버지에 대한 진실도 차츰 밝혀지는데...",탑툰
100,100,"대표님, 오늘은 아니에요",iCiyuan,#만남#원나잇#로맨스#드라마#목#일,"악연도 이런 악연이 없다. 하룻밤의 쾌락을 위해 만난 사람이 맞선남이라니. 이 사람은 왜 자꾸 나한테 결혼하자고 하는 거지? 그 일을 약점잡아 날 가지고 놀겠다는거야? 어림도 없지. 어차피 해야 할 결혼이라면, 내가 결정하겠어.",탑툰
101,101,게임이라는 이 세계에 구원을,열문&춘일문화&Kuaikan Comics&연화성,#소년물#이세계#회귀#액션#무협#목,"미래도시. 이 세상에서는 '게임'이라 불리는 이세계로 이동할 수 있는 포탈이 존재한다. 게임 속으로 들어가 몬스터를 처치하고, 거기서 얻은 아이템과 능력치를 받아오던 사람들.",탑툰
102,102,최애에게 들켜버렸다,Lv,#두근두근#순애#연예계#아이돌#로맨스#목,하필 나의 최애에게 보여서는 안 될 그림을 들켜버렸다?! 마이너도 한순간에 메이저로 만드는 홍예림. 아이돌 연습생 남도윤에게 입덕하다!,탑툰
103,103,환생요마뎐,열문그룹,#월간연재#빙의#요괴#성장#소설원작#판타지#무협#목,"퇴근길에 트럭에 치여 죽은 주인공, '고성'. 눈을 뜨자 자신의 가슴을 뜯어먹는 요괴를 발견하고 떼어내기 위해 안간힘을 쓴다. 이어서 들어오는 몸 주인의 기억들로 상황을 파악한 '고성'은 자신이 환생하기 전, 가지고 있었던 목걸이가 귀물들을 흡수한다는 사실을 알게 되고 얼떨결에 자신을 물어 뜯던 요괴를 길들이게 되는데...",탑툰
