,id,title,author,genre,story,platform
23,23,롱리브더킹,버드나무숲,드라마,"한 여인을 위해 불가능에 도전하는 남자가 있다. 의리와 사랑을 빼고는 아무것도 없다고 말하는 남자 장세출! 사랑하는 여인 강소현을 위해, 목숨보다 더 소중한 친구 정춘택을 위해, 목포 건달 장세출은 대통령이라는 꿈에 도전한다.[매주 월요일 연재]",카카오웹툰
24,24,허니 블러드,이나래,로맨스,"""너 되게 맛있는 냄새난다. 한입만 먹어도 될까?""그냥 기분 나쁘니까, 만만하니까.괴롭힘에는 이유가 없다. 장난인 척 간사하게 괴롭힌다.아, 내가 무당 딸이구나.그렇게 나는 왕따였다. 어느 날 수학여행에서 내림은 자신을 괴롭히는 무리에 의해 억지로 폐교회 안으로 내몰린다. 거기서 부적이 붙여진 장롱을 열게 된다.  그 안에는 꽃에 둘러싸인 한 남자가 눈을 감고 있는데….그는 시궁창에 허우적거리고 있는 내림한테 어떤 존재일까?<허니 블러드>는 주로 단편 작품을 선보이고 미국 활동에 주력하고 있는 작가의 국내 장편 본격 도전 작이다. 매주 목요일 업데이트!많은 관심 부탁드립니다.",카카오웹툰
25,25,99만 전생이 날 도와줘,"마루코믹스,침략자",판타지,"흔하디흔한 F급 헌터 강현준,그의 존재를 비웃기라도 하듯 신은 그에게 일말의 재능도 주지 않았다.그는 언제나 기도했다.""모든 걸 바꿀 힘을 달라고…""""아니, 재능 내놔 신 자식아!!!""그의 부름에 누군가, 아니 모두가 응답했다.- 카르타고의 정의로운 방패가 당신을 수호합니다. 당신은 혼자가 아닙니다.- 최후의 검성, 시든밀러가  당신의 용맹함에 감탄하며 당신을 주시합니다.- 배후의 그림자, 하사신이 당신의 사악한 계략에 감탄하여 찬사를 보냅니다. -지키지 못한 자, 단치히의 의지가……""그만! 도대체 몇 명이나 있는 거야!!""""99만.""99만 전생을 깨달은F급 흙수저 헌터 강현준이,전생 수저 물고 지금 출발합니다!",카카오웹툰
26,26,8클래스 마법사의 회귀,"테스,류송",판타지,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년.나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다.그러나,“자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사.”“그런 괴물을 어찌 살려둘 수가 있겠나?”친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전,시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다.‘내가 원했던 참회란, 모든 것을 되돌려놓는 것.’인류 최초의 8클래스 마법사 이안 페이지.그가 30년 전 과거로 돌아왔다.",카카오웹툰
27,27,모시던 아가씨가 도련님이 되어버렸다,"시그마,태비의별",로판,"조연에 빙의한 지 9년 차, 모시던 아가씨가 도련님이 되어 찾아왔다.*원작 여주인공의 시녀 생활을 청산한 지도 4년.웬 잘생긴 남자가 찾아왔다.그것도, 내가 모시던 아가씨를 닮은 남자가.“약속을 지키러 왔어, 블레아. 나와 평생을 함께하겠다고 했잖아.”“설마… 아가씨?”순간, 남자의 붉은 눈에 이채가 돌았다.코앞까지 다가온 그가 고개를 기울여 내 머리카락에 입 맞췄다.그리고 속삭였다.아주 다정하고 아름다운 목소리로.“이젠 도련님이라 불러야지.”……네?*원작대로라면 여주인공, 클로이는 후회에 찌든 가족들을 거느리고남주인공 후보들과 해피라이프를 즐길 수 있었다.하지만 연재 중지되었던 원작 소설에는 큰 비밀이 있었으니……여주인공이 알고 보니 남자라면 어떻게 되는 거지?“크… 클로드, 가족들에게 가보지 않아도 괜찮아요?”“말했잖아. 필요 없어.”“그럼 저번에 그 남자분들은…….”“지금 내 앞에서 다른 남자 이야기를 하겠다고?”…그 남자들이 원래 당신이랑 이어져야 했을 남주인공들인데요.“나는 너만 있으면 돼. 다른 건 알 바 아냐.”가족 후회물의 주인공께서 모든 걸 다 뻥 차 버리고 내 곁에 있겠다고 선언했다.“그러니, 블레아. 너도 나만 보는 거야.”전에 없이 다정한 눈 속에 집착이 가득했다.*********************로판 화제작 태비의별 작가님의 <모시던 아가씨가 도련님이 되어버렸다> 본격 웹툰화!빙의된 하녀 블레아와 츤데레 클로이의 티키타카 찐케미를 만나보세요!!*********************",카카오웹툰
28,28,정령의 펜던트,"빅피,발렌",판타지,"제국의 살아 있는 전설, 란데르트 공작의 유일한 아들 바율.어려서부터 환시와 환청을 겪으며 일상 생활에 어려움을 겪던 바율은아버지의 강권으로 뒤늦게 캐링스턴 아카데미에 입학하게 된다.집을 나오기 전의 우려와는 달리 바율은 아카데미 생활을 하며따듯하고 개성 강한 친구들을 만나 조금씩 마음의 문을 열게 되고,그곳에서 환시로만 알고 있었던 존재가 사라진 줄 알았던 정령임을 알게 되며바율의 생활은 새로운 국면을 맞이하게 되는데…….",카카오웹툰
29,29,"할부로 해주세요, 마왕님!",판톰,BL,"운전면허 필기시험에만 다섯 번 떨어진 유진은과음을 하고 어찌저찌 악마를 소환하게 된다.그렇게 소환된 악마는 본인 취향 얼굴이라면 사족을 못쓰는 악마 ‘달링‘!유진은 술김에 달링에게 운전면허 시험합격 소원을 빌지만합격은 커녕 무이자 할부(?)로 영혼을 넘기게 되는데…""",카카오웹툰
30,30,악녀의 정의,"윤쓰(REDICE STUDIO),민(REDICE STUDIO),주해온",로판,"“난 이미 내 황후를 정했고, 넌 구색 맞추기일 뿐이야.”“바로 내가 제국의 황후가 될 거예요.”가장 친한 친구에게 남자친구를 뺏긴 날, 나는 실수로 한강에 빠지고 말았다.그리고 눈떠 보니 악녀로 이름난 공작영애 샤르티아나 알티제 카일론이 되어 있었다!알고 보니 이 샤르티아나 영애,황태자를 그 연인에게서 가로채려 했다고 한다.그런 악녀 따위는 절대로 되지 않을 거라고 다짐하고 싶지만…… 차기 황후 후보, ‘레지나’로 간택되는 순간 내 운명도 결정되었다.레지나 후보는 둘, 나 샤르티아나와 황태자의 연인 아이린.모략이 휘몰아치는 궁정에서 사랑하는 가족을 지키기 위해철저한 악녀가 되어 황후의 자리를 쟁취할 수밖에 없다.그런데 현실을 받아들이기로 결심한 순간, 차갑기만 했던 황태자 레오프리드가 다른 얼굴을 보이기 시작한다.그리고 아이린과의 관계에도 무언가 비밀이……?사랑하는 사람들과 행복해지기 위해, 나는 희대의 악녀가 된다.달콤살벌한 궁중 로맨스의 새로운 정의!***********************************************************소설에서 풀지 못했던 못 다한 이야기가지금 여기에서 펼쳐집니다!",카카오웹툰
31,31,외과의사 엘리제,"유인(流人),mini",로판,"서울대 최연소 의대 교수 '송지현'! 지난 과거 삶의 잘못을 만회하기 위해 의사로서 최선을 다해 살고 있었는데, 태평양 한가운데 1만 미터 높이의 비행기에서 비상탈출을 해야 한다고?!! 아찔한 순간 모든 게 끝났다고 생각했는데… 어라? 눈을 떠보니 첫 번째 삶의 '엘리제'로 돌아왔다? 첫 번째 삶의 '엘리제'는 패악했지만, 두 번째 삶의 '송지현'을 거쳐 다시 돌아온 '엘리제'는 달라! 지난날의 과오를 갚기 위해 의사 '송지현'의 지식을 이용해 의사로서 새로운 삶을 살게 된 '엘리제'! 그녀의 세 번째 삶은 과연...?",카카오웹툰
32,32,레드스톰,"노경찬,암현",액션,"사막의 찐득찐득한 모래바람과, 그곳을 질주하는 전사들의 이야기",카카오웹툰
33,33,"왜 이러세요, 공작님!","에디,반달반지",로판,"“나의 종달새, 내 영혼의 주군—그런 슬픈 표정 하지 마.종달새가 우울해하면 내 세상에는 온통 비가 내리는 것 같아.”일명 사신(死神)으로 불리는 냉혈한, ‘로안 페르카 공작’.한 달 전 손수 내 목을 치려던 그가 나의 남편이 되었다?!그것도 공처가, 애처가를 넘어 나 ‘에르인’의 신봉자가 되어서!!!진짜 사랑이면 좋겠지만 이 모든 것은 정체불명 마법의 힘ㅠㅠ심지어 그 마법이 점점 풀리고 있어-!!이중인격(?) 두 남편(?)과의 명줄을 건 결혼생활, <왜 이러세요, 공작님!>",카카오웹툰
34,34,버림 받은 황비,"인아,정유나",로판,"천년 역사를 자랑하는 카스티나 제국.모니크 후작가의 외동딸, 아리스티아 라 모니크는신탁에 의해 예비 황후로 성장한다.그러나 그녀에게 찾아온 이변!어느 날, 황궁 호수에 신비한 소녀가 나타나고그녀가 황후로 추대된다.결국 아리스티아는 '황후'가 아닌 '황비'로 궁에 들어가게 되는데….하지만 아리스티아가 간절히 원했던 건황후 자리도, 권력도 아닌오직 황제의 사랑뿐!그러나……""죄인 아리스티아 라 모니크는황족 시해 미수 등의 모든 죄를 물어 참수형에 처한다!""""나는 그저 당신을 사랑한 죄밖에 없는데…!""차갑게 외면당하고 짓밟힌 채형장의 이슬로 사라진 비운의 여인.운명은 그녀에게 또 한 번의 삶을 부여한다!""너희 인간에게 주어진 피할 수 없는 결정,그것이 운명이다.""열 살로 회귀한 아리스티아.다시 찾은 아버지의 사랑,그리고 새로이 시작되는 인연….""어느 것이 꿈이고, 어느 것이 현실인가.나의 운명은 다시 반복되는가.""**********************************************<항아,리> <롤랑 수도원 사건일지>의 인아 작가와회귀물의 여왕 정유나 작가가 선사하는노블코믹의 완성판 <버림 받은 황비>! 많은 사랑 부탁드립니다!",카카오웹툰
35,35,나 혼자 만렙 귀환자,"이지득,Vertwo,허니",판타지,"전 세계 1억 2천만 명의 인구가 사라졌다. [최종 퀘스트 완료 보상 '귀환'이 시작됩니다]22년 만에 최악의 생존게임을 클리어한 윤상혁.일일군단, 플레이어 중 최강자라 불리던 그가 돌아왔다.그 누구도 받지 못한 보상을 통해 모든 것을 가진 채로.[가면의 군주, 귀환]나 혼자 만렙, 나 혼자 풀템, 나 혼자 사이다!",카카오웹툰
36,36,이건 명백한 사기결혼이다,"제이드,배즙,박해담",로판,"가문을 지키기 위한 유일한 방법, 결혼.딱 1년간 남편이 되어줄 사람을 찾기 위해정보 길드에 중매를 의뢰했다.그런데잘생긴 조건이 흡족하여 결혼했는데,이 남자 이름이 케레이드가 아니라….“뭐? 칼리어드 대공?”그 미친 전쟁광, 살인마….피를 부르는 악의 화신인칼·리·어·드 대공 이라니!토끼 같은 레이린의 목숨 건 계약 결혼, <이건 명백한 사기결혼이다>",카카오웹툰
37,37,메디컬 환생,"키다리스튜디오,유인(流人)",드라마,"실패한 외과 의사로서의 삶을 살던 김진현,우연한 사건으로 인해 환생의 기회를얻는다. 그리고 돌아간 시점은 중학생 김진현의모습. 새로 얻은 삶의 기회를 소중히여기고 악착같이 공부하는 진현.이번 삶의 목표는 힘들고 돈도 못 버는 외과의가아니라 돈 많이 버는 피부과 의사다!",카카오웹툰
38,38,제가 산 건 땅이지 남자가 아닌데요,"텔라,안하나,휘색",로판,"고난의 여주인공보다 돈을 편히 줍는 엑스트라가 부러웠고,값어치 오를 땅을 보며 땅부자가 되는 상상을 하던 하루에갑작스럽게 의문의 목소리와 함께 빙의가 찾아왔다?!백작가 여주인공의 충직한 엑스트라 시녀 엘리아나.이제 땅부자가 되기만 하면 되는데,그녀가 산 땅에 눈독 들이던 악역 소공작까지그녀를 따라오기 시작했다.""엘리아나. 나를 마음대로 하게 해주지.""""싫어요!""능청스러운 얼굴로 웃고 있는,그녀의 능력을 탐내는 이 악당으로부터가문을 지키고 무사히 땅부자가 될 수 있을까?!세속적인 여주인공의 엉망진창 로맨스 코미디 <제가 산 건 땅이지 남자가 아닌데요>!",카카오웹툰
39,39,내가 딸이에요?,"이영유,플로우",로판,"악마 같은 백작에게 입양되어평생 오두막에 감금된 채 살다 죽음을 맞이한 헤이린. 눈을 뜨니 일곱 살,하필이면 백작에게 입양되기 직전 상황으로 회귀했다.헤이린은 신에게 묻고 싶었다.도대체 자신이 무얼 잘못했느냐고!그녀는 신을 원망하며 백작가를 향해 달리는 마차 밖으로 몸을 내던지고그 길로 신의 축복을 받은 칼리스토 가문의 공작이자신성함의 상징 빈센트를 만나게 된다. 그런데“푸른 피입니다.”고아인 줄 알았던 그녀가 칼리스토 공작가에서천 년 만에 태어난 여자아이란다. “정말 내가…… 딸이에요?” 일평생 여자를 멀리하며 금욕적인 삶을 살아온빈센트는 결코 애가 생길 만한 행동(?)은 한 적이 없다며아빠임을 부정하는데... “……마물인가?”출생의 비밀을 품은 헤이린의 등장으로제국과 신성국이 크게 들썩인다!초보 아빠 빈센트와 초보 딸 헤이린의서투르지만 사랑스러운 육아물!==============================",카카오웹툰
40,40,블리치,Tite Kubo,액션,유령을 볼 수 있는 특수한 체질을 지닌 쿠로사키 이치고. 어느 날 그의 앞에 스스로를 사신이라 칭하는 소녀가 나타난다. 그리고 호로라는 악령이 나타나 이치고와 가족을 위협하는데…가족을 구하기 위해 스스로 사신이 되는 길을 택한 이치고는…?!,카카오웹툰
