,title,author,genre,story
12,천 개의 달이 뜨면,글/그림 / 박희정 / 90화 완결 / ,로맨스,"전생은 과연 현재 삶에 어떤 의미가 있을까? 아무 상관이 없는 것일까. 아니, 어쩌면 운명처럼 전생의 관계들은 반복되는 것이 아닐까. 전생의 업보로 환생할 때마다 마을 사람들에게 죽임 당하는 운명의 소녀 녹영, 녹영이 환생할 때마다 마을 사람들은 본능적으로 그녀 주변으로 모여든다. 그리고 그들이 겪었던 전생의 사건들은 마치 저주처럼 그 옛날 그대로 반복된다. 녹영의 주변에는 그녀를 언제 죽이려 들지 모르는 이들이 있고, 그녀를 좋아하는 이와 그녀가 좋아하는 이 또한 있었다. 길고 긴 환생의 고리 끝, 이제는 마지막 생. 녹영의 이번 생은 다를 수 있을까. 비극 뿐이던 전생에서 벗어날 수 있을까. 전생은 과연 현재 삶에 어떤 의미가 있는 것일까? 운명 속에 놓인 녹영의 마지막 선택이 시작된다."
13,야설록 흑야차 컬렉션,글/그림 / 야설록 / 256화 완결 / ,무협,<야설록 흑야차 컬렉션> 작품구성 1. 흑야차 [개정판] 2. 무림출사표 [개정판] 3. 불사자 [개정판] 4. 야차 [개정판]
14,나의 아빠와 아빠의 이야기,글/그림 / 로지 / 6화 완결 /,BL,"혈연은 없지만 우리는 진짜 아빠잖아. 동성혼이 인정되면서 대학 시절부터 연인이었던 나오와 아이는 혼인신고를 하고 양자결연을 통해 사랑하는 아들 히로(0살)를 얻었다. 섬세하고 눈물이 많은 나오와 자유로운 영혼인 아이. 정반대인 두 사람의 통잠 재우기, 어린이집 데뷔, 학부모 인간관계 등 육아의 단맛 쓴맛이 이 한 권에―!"
15,환상의 에덴 [웹툰판/개정판],글/그림 / 후지토비 / 22화 완결 / ,BL,어떠한 이유로 방랑하고 있는 사형 잇테츠를 데리러 온 승려 야마토. 너무나도 불량한 잇테츠의 태도에 휘둘리며 야마토는 짜증만 치솟는다. 그러나 함께 여행하는 동안 잇테츠 나름의 다정함과 배려를 겪으며 점점 그에게 마음이 쏠리고··· 어느 덧 짝사랑으로 발전하는데?! 불량 X 성실이라는 정반대인 두 사람이 펼치는 두근두근 짝사랑 러브스토리! 대인기 시리즈 「담색의 나날」 특별 단편도 수록♥
16,연하 문제아에게 반했습니다,글 / 네코 / 그림 / 모이라 / 56화 완결 / ,로맨스,"한국에서 가장 좋기로 소문이 자자한 명문 사립 고등학교, 100년이 넘는 오랜 역사에 교육 환경뿐만 아니라 이곳에 다니는 학생 모두가 엄청난… 재벌집 자제들이다. 덕분에 전부 자기 잘난 맛에 사는 말 안 듣고 싸가지없는 학생들뿐… 어느 날, 연성신(여주)은 난이도 헬의 이 학교에서 모두가 꺼려 하는 학생 주임을 맡게 되는데… 더 재수가 없는 건 자신과 이름이 한 글자만 다른 연성진 학생을 관리하면서부터 일이 꼬이기 시작한다. ‘연 성생님, 그거 알아요? 성진이 그 학생 소문이 어느 정도냐면요... 싸움질에 무단결석은 기본이고, 심지어 여중생이랑 동거 중이래요!’"
17,급한 대로 동거하지 않을래요? ,글/그림 / 나카무라 유키치 / 41화 완결 / ,로맨스,"28세 솔로, 사와다 하루카. 친구들의 결혼 러시에 마음이 복잡해지는 서른 직전…. 완전히 사랑의 절벽 끝! '다음에 사귀는 남자친구는 결혼할 사람' 이라고 생각했는데 엉뚱한 계기로 회사의 연하남과 생각지도 못한 동거 스타트!"
18,넌 내가 접수한다 2부,글/그림 / 권열희 / 56화 완결 / ,로맨스,"전직 일진짱, 해결사로 전업 후 맹활약 중. 모든 사건 사고는 나에게 접수하시라."
19,하늘색 레몬과 길 잃은 고양이,글/그림 / 사토나카 미카 / 73화 완결 / ,로맨스,"히로시마에 위치한 항구도시 오노미치에서 첫사랑과의 재회를 기다리며 고등학교 생활을 하는 나기사. 어느 날, '감독을 때려 연예계에서 퇴출됐다'는 소문의 배우, 야마토가 고양이처럼 훌쩍 동네에 나타난다. 집도 가까운데다 반도 같은 반. 왠지 신경 쓰이는 그와 자꾸 얽히게 되는데….오노미치 청춘 러브 스토리, 개막! SORAIRO LEMON"
20,울보 남자는 침대 위에선 짐승 [개정판],글/그림 / 무코 / 30화 완결 / ,로맨스,"귀여운 울보 남자는 육식계 짐승으로 돌변?! 짓궂은 웃음으로 마음도 녹아버릴 것 같아.... 나나는 엄격한 가정에서 자란 세상 물정 모르는 아가씨. 어느 날 새로운 만남을 위해 이자카야 아르바이트를 시작하는데, 가벼워 보이는 대학생 아카네가 한눈에 반해 갑자기 사귀어 달라고 고백한다?! 차자마자 울기 시작하는 그가 처음에는 당혹스럽기도 했지만 솔직하고 올곧은 일면을 알면 알수록 그를 바라는 마음은 커져만 가고.... 평소에는 귀여운데 분위기가 달아오르면 달콤한 말로 대담해지는 그. 더는 참을 수 없어!!!"
21,유성이 내리는 거리,글/그림 / 정민아 / 50화 완결 / ,BL,"두 남자와 구미호의 시공간을 뛰어넘는 짜릿한 판타지! 재벌 3세 성우는 할아버지가 가보로 남기신 보석함을 호기심에 열었다가 그 속에 갇혀있던 구미호 비(斐)를 깨우게 된다. 구슬에서 사람이 나타난 것도 황당한데, 조선 시대에서 왔다고?! 죽일 듯이 달려드는 비(斐)를 어렵게 진정시킨 성우는 사촌 유성에게 도움을 청한다. 부유한 태생 덕에 평소 욕심부려본 적 없는 유성이었지만 비(斐)를 만난 후 처음으로 강한 소유욕을 느끼게 되고, 난감해하는 성우 대신 비(斐)를 집으로 데리고 간다. 능글공X미인수X도련님공의 지독한 삼각관계가 지금 시작된다."
