,id,title,author,genre,story
14,14,"행운을 빌어요, 용사님!",글/그림 / 송현주 / 87화 완결 / ,#로맨스 #회귀 #사내연애 #완결로맨스,"전생에 무찌른 마왕이 현생의 직장 상사?! 마왕을 무찌른 용사의 기억을 가지고 다시 태어난 평범한 직장인 백영웅! 용사의 기억이 도움이 된 건 어릴 적 웹소설을 썼을 때뿐!  영웅은 현실에서 쓸모없는 전생의 기억을 아쉬워하며 가까스로 대기업인 대룡 ENT의 대표 이사 비서실에 취직한다.  그런데 처음 만난 대표 이사 도연화에게 전생에서 경험한 적 있는 긴장감과 떨림을 느끼는데…?  이건 마치, 아주 강한 마수를 마주했을 때와 같아…!! 전생 마왕, 대표 이사와 전생 용사, 말단 비서의 지독하게 얽힌 로맨스!"
15,15,환상연가,글/그림 / 반지운 / 86화 완결 / ,#로맨스 #궁중로맨스 #퓨전사극 #완결무료 #완결로맨스,"왕을 시해하려다 기억을 잃고 쓰러진 자객이 다음 날 후궁으로 책봉된다면? 반역자로 몰려 몰살당한 연씨 가문의 유일한 생존자 연월은 왕에게 복수하기 위해 자신의 신분을 숨긴 채 자객이 된다. 무희로 잠입해 은밀히 왕의 목을 노리지만, 왕이 쳐 놓은 덫에 빠져 오히려 독한 향에 정신을 잃고 쓰러진다. 다음 날, 연월은 과거의 기억을 잃은 채 눈을 뜨게 되고, 뜻밖에 왕명을 받아 후궁 은효비에 책봉된다. 현왕은 자신을 죽이러 온 자객인 연월을 후궁으로 들인 악희의 소행에 분노하며 후궁전으로 달려가 연월을 죽이려 하지만, 도리어 악희에게 몸의 통제권을 빼앗기고 마는데..."
16,16,사랑의 헌옷수거함,글/그림 / 고잉 / 97화 완결 / ,#로맨스 #하이틴 #학원로맨스 #친구>연인 #걸크러시 #완결무료 #완결로맨스,"짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..! 연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다. 그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?"
17,17,우산 없는 애,글/그림 / 로밋 / 59화 완결 / ,#드라마 #2021 지상최대공모전 #성장드라마 #완결무료 #완결드라마,"화목한 가정에서 자란 여름은 밤마다 부부 싸움 소리가 들리는 윗집 남자애 수완을 종종 챙겨주었다. 놀이공원에서 아르바이트를 하게 된 여름은 엄마와 놀이공원에 가보고 싶다는 수완의 말에 티켓을 선물한다. 얼마 후, 놀이공원에 놀러 온 수완과 아줌마를 보며 흐뭇해하던 여름. 그러나 아줌마의 돌발행동에 당황하는데..."
18,18,보스의 노골적 취향,글 / 팀솜사탕 / 그림 / 반지은 / 원작 / 시크크 / 96화 완결 / ,#로맨스 #소설원작 #완결로맨스,"인생에 취향 따윈 NO! 외모, 재력, 능력, 치명적인 매력까지 갖춘 재벌남 권도혁은 그를 완전히 무장해제시켜버리는 자유로운 싱어송라이터, 이은채를 만난다.  사생활이 복잡한 아버지의 새로운 관심사가...이 여자라고? 은채의 정체를 파헤치기 위한 도혁의 노골적인 계략이 시작된다!"
19,19,옆집 동생이 뱀파이어면 어떡하죠?!,글/그림 / 이만세 / 70화 완결 / ,#로맨스 #완결로맨스,"‘뱀파이어가 친근한 존재면 좋겠어!’ 우리는 이를 염원하며 글을 쓰지만 잘 풀리지 않는다.그러던 어느 날,민의와 스킨십을 하고 나서 어째 글이 술술 잘 풀리는데…?! 이웃집 형과 동생의 알콩달콩 some 있는 스토리!"
20,20,필생기,글/그림 / 찬성 / 79화 완결 / ,#판타지 #완결무료 #완결판타지,"생사의 갈림길에 도달한 사람에게만 초능력이 발현하는 세계. 5년 전 생긴 대형 싱크홀로 고등학생 김신관을 포함해 수많은 사람이 초능력자가 되었고,  사람들은 싱크홀을 만든 '리피터'라는 정체불명의 물건을 찾아 나선다.  '리피터'를 둘러싼 싸움에 휘말린 김신관의 최후는..?"
21,21,DC 플래시: 세상에서 제일 빠른 남자,글 / 제프 존스 / ,#액션 #영화원작웹툰 #완결액션,"센트럴 시티 경찰청 과학 수사관 배리 앨런은 폭우가 쏟아지던 어느 날 밤, 실험실에서 야근을 하던 중 내려친 번개를 맞고 주변의 화학 약품을 뒤집어쓰면서 엄청난 속도로 달릴 수 있는 초능력을 얻는다. 이후 열정적인 히어로가 되기로 마음먹지만 새로 생긴 능력을 통제하기가 쉽지 않다. 결국 고민 끝에 배트맨을 찾아가는데…. 영화 “플래시” 공식 타이틀인 프리퀄 [플래시: 세상에서 제일 빠른 남자]와 DC 유니버스를 완전히 바꿔 버린 거대 이벤트 [플래시포인트]를 웹툰으로 만난다."
22,22,아낌없이 프러포즈,글/그림 / 유진하 / 원작 / 시크크 / 116화 완결 / ,#로맨스 #오피스로맨스 #소설원작 #완결로맨스,"신의 장난 같은 맞선으로 시작된 흑룡파 로미오와 줄리엣 검사의 예측 불가 로맨스!   아버지의 임종 소식에 10년 만에 한국으로 돌아왔다가 맞선 시장에 내던져진 흑룡파 황태자, 마태준.  평생 결혼하지 않겠다고 결심한 그는 퀸 호텔 '맞선 킬러'로 악명만 높아진다.  오는 여자 죄다 차던 그의 앞에 나타난 올림픽 출신 검사 시보, 은이수.  아마도 깡패 아들과 검사가 될 여자가 맞선을 보게 된 건 짓궂은 신의 장난이 분명했다.   짝사랑하는 선배 검사를 위해 초콜릿을 준비한 이수.  고백하려는 그녀를 뒤로하고 선배가 간 곳은 퀸 호텔.  그곳에서 이수는 호텔 대표가 된 그 맞선남을 다시 만난다.  잘못 준 초콜릿 하나로 운명이 바뀐 걸까?  위험한 그와 제대로 얽혀버렸다.   “그녀에게 그는 선택해야 하는 것 중 하나였고, 그에게 그녀는 그냥 전부였다.”"
23,23,다시쓰는 연애사,글 / 최경민 / 그림 / 영모 / 63화 완결 / ,#로맨스 #성별반전 #완결무료 #완결로맨스,"대학 시절 구 여친 ‘한서리’와 함께 교통사고를 당한 ‘이제야’.  눈을 떠보니 10년 전 대학생 시절로 돌아와 버렸다. 그것도 서로의 몸이 뒤바뀐 채로. 제야는 이곳에서 실패했던 서리와의 연애를 다시 써보고 싶다. ""제야야. 날 다시 만나고 싶어? 그럼 날 다시 꼬셔봐."" 과연 제야는 서리의 몸으로 서리를 꼬실 수 있을까?"
