,id,title,author,genre,story
104,104,원주민 공포만화,글/그림 / 원주민 / 화요웹툰 / ,#스릴러 #괴담,끝날 때까지 끝난 것이 아니다! 마지막까지 방심할 수 없는 다양한 에피소드. 당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다!
105,105,저 그런 인재 아닙니다,글 / 에몽 / 그림 / 머나 / 원작 / 덴피 / 화요웹툰 / ,#판타지 #세계관 #이세계 #다크히어로 #소설원작,"스트레스만 받으면 피를 토하는 병약하기 짝이 없는 나, 데온 하르트. 하지만 어쩐지 강하다는 오해를 받고 제국에서는 모두의 두려움을 받는 하르트 명예 백작인 동시에, 마계에서는 마왕이 가장 신임하는 0군단장이 되었는데… 예?! 제가요? 저 그런 인재 아닌데요?!"
106,106,올가미,글/그림 / 해무리 / 화요웹툰 / ,#드라마 #폭스남 #집착물 #고자극로맨스 #혐관로맨스 #인외존재 #뱀파이어,"""일주일에 단 한 번, 내가 지시하는 곳으로 데려오기만 하면 돼요."" 정체불명의 힘을 지닌 윤수와 그의 올가미에 단단히 옭아매어진 채아. 과연 그녀는 그의 덫에서 빠져나올 수 있을까."
107,107,"랜덤채팅의 그녀!
휴재",글/그림 / 박은혁 / 화요웹툰 / ,#드라마 #학원물,랜덤채팅만 하던 준우에게 온 기적! 과연 그녀(들)에게 다가갈수 있을까?! (읽다 보면 원픽 캐릭터 무조건 생김ㅇㅇ)
108,108,신입사원 김철수,글 / 스튜디오MW / 그림 / 권다희 / 원작 / 오정 / 화요웹툰 / ,#판타지 #타임슬립 #힐링 #직업드라마 #회귀 #복수극 #두뇌싸움 #소설원작,"평생을 바친 회사로부터 버림받은 그날, 입사 첫 날의 그 순간으로 돌아와 버렸다? 국내 굴지의 대기업 한영통산에 입사한 무스펙 신입사원 김철수. 과연 이번 생에는 그토록 염원하던 '사장'의 자리에 오를 수 있을까? 현대판 입지전적 자수성가 스토리!"
109,109,신과함께 돌아온 기사왕님,글 / 지대공마법소년 / 그림 / 전천후마검사 / 원작 / 사람살려. / 화요웹툰 / ,#개그 #먼치킨 #소설원작,이세계에서 300년동안 악마사냥을 하다 지구로 귀환했다. 하지만 나 혼자 오진 않았다.
110,110,윌유메리미,"글/그림 / 마인드C / 화, 토 연재 / ",#일상,"외모는 상남자, 마음은 감성소녀 윌.외모는 청순녀, 마음은 터프가이 메리!  서울 부산 띠동갑 커플의 리얼 연애 일기"
111,111,시체기사 군터,글/그림 / 마요너구리 / 화요웹툰 / ,#액션 #인외존재 #뱀파이어 #다크판타지,"인간과 뱀파이어와의 전쟁은 모두의 예상대로 뱀파이어의 승리로 끝을 맞이하게 된다.  수세에 몰린 인간은 각고의 노력 끝에 죽지 않는 '시체기사'와 그를 움직일 수 있는 '동력원'제작에 성공하여, 검투사였던 '군터'를 시체기사로 되살리게 되는데..  인간과 괴물의 사이, 살아있지만, 죽어있는 존재인 군터는 끝없는 싸움의 마지막, 어떤 선택을 하게 될 것인가."
112,112,거짓말의 뉘앙스,글/그림 / 사즈 / 화요웹툰 / ,#드라마 #2022 지상최대공모전 #후회물 #하이퍼리얼리즘 #인플루언서,"꿈도, 돈도 없는 흙수저 고인영은 동병상련을 느꼈던 룸메이트 최정은이  사실 금수저였다는 사실을 알게 되고 그녀에게 속았다고 생각해 집을 나오게 된다.  그러다 우연히 대형 유튜버 ‘오늘영’ 라이브방송에 얼굴이 노출이 되어버렸다.  순식간에 캡처 되어 ASMR유튜버 ‘오늘영’으로 기사가 나게 되는데…   금방 해결될 줄 알았지만 진짜 유튜버는 감감무소식!   하지만 당황스러움도 잠시, 위기를 기회로 바꾼다.  인영은 SNS를 개설하고 직접적으로 유튜버라고 밝히진 않았지만  유튜버인척 뉘앙스를 풍기는 글을 개시하며 수많은 팔로워를 모아 화려한 삶을 살게 되는데... 조금이나마 느끼던 불안함마저 사라질 즈음 진짜 유튜버 ‘오늘영’ 이 앞에 등장한다."
113,113,우리 집 고양이 보고 갈래?,글/그림 / 삼태 / 화요웹툰 / ,#로맨스 #요즘핫한추천작 #2022 지상최대공모전 #무해한 #회귀 #캠퍼스로맨스,"고양이 3마리, 강아지 2마리, 그리고 사랑하는 남편 ♥︎ 완벽한 날들이 이어지고 있었는데…  갑자기 10년 전으로 회귀해버렸다?! 애기들을 다시 만나고 남편도 처음부터 꼬셔야만 한다니! 난이도 극상, 가족 되찾기가 시작된다!"
