,id,title,author,genre,story
26,26,기태류,글/그림 / 배드이리 / 133화 완결 / ,#판타지 #완결무료 #완결판타지,죽음을 위해? 삶을 위해? 의문에 싸인 그녀의 발걸음이 움직이기 시작한다.
27,27,수업시간그녀,글/그림 / 박수봉 / 29화 완결 / ,#로맨스 #완결로맨스,"수업시간, 나를 두근거리게 만드는 내 옆자리의 그녀. 당신들에게도 있었던 가슴 속까지 설레는 이야기."
28,28,움비처럼,글/그림 / 권혁주 / 254화 완결 / ,#감성 #완결무료 #완결감성,바쁜 일상 속에서 잠시 자신을 돌아보게 하는 만화  느림의 즐거움을 추구하는 마음정화웹툰
29,29,마인드컨트롤,글/그림 / 마인드C / 37화 완결 / ,#개그 #완결무료 #완결개그,살면서 누구나 한번쯤 가져봤을 궁금증을 마음과 심리를 꿰뚫는 공감으로 해결한다?!  본 컨텐츠는 SBS TV프로그램 <화신>과 함께하는 제휴 웹툰입니다.
30,30,"꼭, 딱, 똑으로 시작",글/그림 / 네이버웹툰 작가 / 8화 완결 / ,#일상 #완결무료 #완결일상,"꼭 필요한! 딱 맞는! 똑 소리나는! 새로운 온라인 보험 이야기 - 본 컨텐츠는 곽백수, 서나래, 이현민, 김양수 작가와 함께하는 한화생명 온슈어 브랜드 웹툰입니다."
31,31,위아더 능력자!,글/그림 / 손하기 / 54화 완결 / ,#개그 #완결개그,능력자는 능력자인데 별로 부럽진 않은 그들. 능력자 아니야.. 너넨 좀 그래...
32,32,2013 전설의고향,글/그림 / 네이버웹툰 작가 / 50화 완결 / ,#스릴러 #완결무료 #완결스릴러,네이버 웹툰 작가들의 여름 특집 릴레이 단편. 머리를 쭈뼛하게 만드는 '2013 전설의 고향'. 스마트툰으로 만나보세요.
33,33,바람의 색,글 / 재아 / 그림 / 임광묵 / 30화 완결 / ,#로맨스 #완결로맨스,홋카이도를 배경으로 펼쳐지는 두 남녀의 아름다운 사랑 이야기. 곽재용 감독이 원안을 쓰고 <교무의원> 임광묵 작가가 그린 신작 웹툰 <바람의 색>.
34,34,너와 나의 거리는 8.5,글/그림 / 김진 / 12화 완결 / ,#일상 #완결무료 #완결일상,본 컨텐츠는 김진 작가가 전하는 그레이트 한 영국이야기로서 주한영국문화원의 브랜드 웹툰입니다.
35,35,사랑의 아쿠아리움,글 / TGM / 그림 / 린다 / 137화 완결 / ,#드라마 #완결무료 #완결드라마,"우연한 기회에 수상한 아쿠아리움을 발견한 주인공 김죄형과,  엉뚱하지만 사랑스럽고, 진지하지만 예측불허인 수족관 사람들의 이야기."
36,36,레인보우 로즈,글 / 김예린 / 그림 / 장유라 / 28화 완결 / ,#판타지 #완결무료 #완결판타지,간절히 원하면 이루어진다?  <2012 서울만화스카우트> 당선작 '레인보우 로즈'
37,37,진진돌이 제로,글/그림 / 윤종문 / 39화 완결 / ,#액션 #완결무료 #완결액션,짐승 특수부대의 화려한 총격전!  또 다른 버전으로 만나는 진진돌이.
38,38,타임인조선,글/그림 / 이윤창 / 112화 완결 / ,#개그 #완결개그,'백투더퓨처'를 꿈꾸는 준재와 철수의 조선견문록!
39,39,레사 시즌1,글/그림 / POGO / 59화 완결 / ,#판타지 #먼치킨 #완결판타지,"어느날부턴가, 사람들은 디맨으로 변한다. 매일밤 계속되는 습격, 그리고 동생을 찾는 한 남자. 그 혼돈 속에서 신이 눈을 뜬다!"
