,id,title,author,genre,story
21,21,"삼시 세끼 낮잠이 보장된 생활을 약속해 주세요, 공작님. [연재]",TUGIKURU COMICS,로맨스,[계약 결혼의 조건은 삼시 세끼와 낮잠 보장?!]
22,22,미로 속을 걷다 [연재],두타타,로맨스,"어느새 비가 그치고, 어둡던 미로 속은 산책길이 되었다."
23,23,불건전 친구 [연재],송보배,로맨스,“원나잇 한 남자랑 친구 하는 미친X도 있니?”
24,24,낮에 뜨는 별,고다고,로맨스,"대한민국 최고의 톱스타 강승현, 7년째 중고 신인 황유라의 드라마틱 로맨스!"
25,25,폭군의 아이를 가졌습니다,SF_JD,로맨스,"1년에 한 번 열리는 가장 축제의 밤. 일란은 눈을 뜨자 잔혹하기로 소문난 황제, ‘카일라트’가 곁에서 자고 있는 걸 발견하고 급하게 도망친다. 하지만…  “임신입니다.”  하룻밤의 실수로 폭군의 아이를 가져 버렸다.  황제는 자신에게 다가오는 여인들을 혐오한다는 이야기를 들은 일란은 이 사실을 숨기기로 결심한다. 그녀의 결심이 무색하게 자꾸만 다가오는 카일라트.  과연 일란은 카일라트에게서 무사히 벗어날 수 있을까?"
26,26,"대표님, 사모님이 도망가요",Anyouran,로맨스,"결혼식 전날, 약혼자의 불륜을 목격한 것도 모자라 사랑하는 가족까지 잃게 된 노신아. 세상이 무너지는 것 같던 그때 그녀 앞에 나타난 권욱진! ""네가 잃은 모든 걸 되찾아 줄 수 있어. 단, 한 가지 요구만 들어준다면..."" 모든 걸 잃어버린 그녀에게 나타난 이 남자. 과연 행운일까? 불행일까?"
27,27,결혼부터 시작할까요,hongshu,로맨스,갑작스러운 사건에 휘말려 정신병원에 강제로 갇혀버린 안지수. 그게 새어머니의 계략인 걸 알았을 땐 너무 늦어버렸다.
28,28,뒤죽박죽인 그들의 사랑의 행방,코우모리,로맨스,"음침한 오타쿠 X 반짝반짝 OL의 사랑, Pixiv 월례 수상작 & Twitter 좋아요 16만 돌파! SNS 인기 작가인 코우모리의 데뷔작!!!"
29,29,대표님의 삐뚤어진 사랑 [연재],Hongshu,로맨스,"""도망쳐 봐야 내 손바닥 안이지."""
30,30,하늘색 레몬과 길 잃은 고양이,사토나카 미카,로맨스,"히로시마에 위치한 항구도시 오노미치에서 첫사랑과의 재회를 기다리며 고등학교 생활을 하는 나기사. 어느 날, '감독을 때려 연예계에서 퇴출됐다'는 소문의 배우, 야마토가 고양이처럼 훌쩍 동네에 나타난다. 집도 가까운데다 반도 같은 반. 왠지 신경 쓰이는 그와 자꾸 얽히게 되는데….오노미치 청춘 러브 스토리, 개막! SORAIRO LEMON TO MAYOI NEKO © 2017 by Mika Satonaka/SHUEISHA Inc."
31,31,"악역 영애, 세실리아 실비는 죽기 싫으므로 남장하기로 했습니다.",단미르,로맨스,"여성향 게임의 악역 영애 세실리아로 전생한 나. 시나리오대로라면 날 기다리는 건 ‘괴로워하다 죽거나, 순식간에 죽는’ 루트뿐. 어떤 루트로 가든 난 죽는다. 무조건 죽는다. 그렇다면 그런 운명을 바꿔버리자! ──그런 이유로 난 ‘남자’가 되기로 했다!! 하지만 이벤트에서의 실수로 이야기는 예기치 않은 방향으로 전개되는데…?"
32,32,새벽에 피는 물안개 [연재],쑥,로맨스,기구한 운명에 맞서는 두 남녀의 이야기―.
33,33,오빠들이 나한테 집착해 [연재],Vigor Comic,로맨스,"그녀는 오빠들의 계락으로 정신병원에 보내진 불쌍한 아이로 환생하게 되었다. 신체 전주인의 비참한 기억으로 배윤가는 가짜 귀족녀에게 복수하기로 결심하였다!비범한 아이큐로 쓰레기를 처치하는 와중에 한때 자신을 모함하고 시해하는 오빠들이 어느순간 다들 동생바보가 되어있다는 점!뿐만아니라 의외로 더 중량급인”오빠”를 얻게 되어 모든 사랑을 한몸으로 받게 된다,오빠들의 사랑으로 그녀는 더욱 날뛰게 된다?"
34,34,여주 없는 세계의 악역영애는 혼약을 파기하고 강아지과 시종과 도망친다 [연재],지로아루바,로맨스,"아가씨 X 시종, 금단의(?) 우당탕탕 도주 러브 코미디!"
35,35,잠겨진 양호실에서 선생님과,카놀라 유,로맨스,"""나 지금 발정 중이니까―."" 양호실에서 온기를 갈구하는 듯이 부드럽게, 몇 번이나 입술을 겹치는 히로키. 그는 '여성 의존증'이었다…."
36,36,최애의 아이,아카사카 아카,로맨스,“이 연예계에서 거짓말은 무기야.”
37,37,만지고 싶어!,China Literature,로맨스,걸크러쉬 인기 락밴드 리더 강세아가 결벽증을 가지고 있는 외과 의사 유도혁을 만나 그 사람의 손과 사랑에 빠졌다?!
38,38,빨리 하고 싶은 두 사람,쿠사카 아키,로맨스,"날라리 여자 주인공 유리가 사귀게 된 사람은 조부, 부친 모두가 내각총리대신을 지낸 초엘리트 가문의 남자, 카츠라기 케이이치로. 게다가 카츠라기 가(家)에는, 남자는 18세가 될 때까지 여자와 일정 성적인 접촉을 해서는 안 된다는 「관례」가 있는데 과연 두 사람은 빨리 할 수 있을까 HAYAKU SHITAI FUTARI © 2020 by Aki kusaka/SHUEISHA Inc."
39,39,접근금지,백하나,로맨스,사람에게 전부를 거는 실수는 이제 하지 않을 거야.' 공사 구분 철저한 송 대리 제대로 임자 만났다?! 개인 실적 1위 팀 실적 1위 능력 만렙 윤주의 단 한 가지 철칙. 일과 사생활을 철저히 분리하는 것. 그런 윤주 앞에 우연히 재희가 나타난다. 동질감으로 시작한 마음은 점점 다른 방향으로 발전하기 시작하면서 윤주의 철칙마저 흔드는데...
40,40,사쿠라는 나를 너무 좋아해,유키미야 후유,로맨스,남자친구가 바람을 피워서 이별을 겪게 된 사와. 「어디 괜찮은 남자 없나」라고 생각하던 중 같은 반의 사쿠라한테 갑자기 고백받는다! 이상형이 아니라고 거절했지만 그 뒤에도 사쿠라는 매일같이 고백해오는데?!
41,41,차가운 빛이 태양을 만난 것처럼 [연재],경경유요,로맨스,"사랑이라고 믿었던 약혼자, 우정이라고 믿었던 친구, 믿음의 끝은 배신이었고, 눈을 뜨니 7년 전인데…"
42,42,대표님의 독점적 사랑,Wanbao,로맨스,"술에 취해 회사 대표님과 하룻밤을 보내게 된 나, 그 후 대표님이 나를 대하는 행동이 달라졌다! 게다가 알고 보니 나랑 가장 친한 친구의 오빠였다니!? 안 그래도 부담스러운데 대놓고 내게 직진하는 이 남자! 대체 진심이 무엇일까? 모르겠고 돈 많고, 잘 생기고, 몸매까지 완벽한 이 남자, 그냥 확~! 내 걸로 만들어 버려?"
43,43,악의의 농도 [개정판],두리,로맨스,"[해당 작품은 <악의의 농도> 일부 장면을 편집한 15세 개정판입니다.] ""프라우드 카터, 내 인생은 그 놈 때문에 망했어!"""
